SourceID	Order	SourceDeck	SourceCard	English	EnglishMeaning	EnglishExample	CueSource	TurkishCue	Status
4000 Essential English Words::Extra::2_1::backpack	3601	4000 Essential English Words::Extra	2_1	backpack			backpack	sırt çantası	draft_google_word
4000 Essential English Words::Extra::2_2::bathrobe	3602	4000 Essential English Words::Extra	2_2	bathrobe			bathrobe	bornoz	draft_google_word
4000 Essential English Words::Extra::2_3::belt	3603	4000 Essential English Words::Extra	2_3	belt			belt	kemer	draft_google_word
4000 Essential English Words::Extra::2_4::blouse	3604	4000 Essential English Words::Extra	2_4	blouse			blouse	bluz	draft_google_word
4000 Essential English Words::Extra::2_5::boots	3605	4000 Essential English Words::Extra	2_5	boots			boots	çizmeler	draft_google_word
4000 Essential English Words::Extra::2_6::boxers	3606	4000 Essential English Words::Extra	2_6	boxers			boxers	boxer külot	draft_google_word
4000 Essential English Words::Extra::2_7::cap	3607	4000 Essential English Words::Extra	2_7	cap			cap	şapka	draft_google_word
4000 Essential English Words::Extra::2_8::circle	3608	4000 Essential English Words::Extra	2_8	circle			circle	daire	draft_google_word
4000 Essential English Words::Extra::2_9::coat	3609	4000 Essential English Words::Extra	2_9	coat			coat	ceket	draft_google_word
4000 Essential English Words::Extra::2_10::cone	3610	4000 Essential English Words::Extra	2_10	cone			cone	koni	draft_google_word
4000 Essential English Words::Extra::2_11::cube	3611	4000 Essential English Words::Extra	2_11	cube			cube	küp	draft_google_word
4000 Essential English Words::Extra::2_12::cylinder	3612	4000 Essential English Words::Extra	2_12	cylinder			cylinder	silindir	draft_google_word
4000 Essential English Words::Extra::2_13::dress	3613	4000 Essential English Words::Extra	2_13	dress			dress	elbise	draft_google_word
4000 Essential English Words::Extra::2_14::earrings	3614	4000 Essential English Words::Extra	2_14	earrings			earrings	küpe	draft_google_word
4000 Essential English Words::Extra::2_15::gloves	3615	4000 Essential English Words::Extra	2_15	gloves			gloves	eldiven	draft_google_word
4000 Essential English Words::Extra::2_16::hat	3616	4000 Essential English Words::Extra	2_16	hat			hat	şapka	draft_google_word
4000 Essential English Words::Extra::2_17::jacket	3617	4000 Essential English Words::Extra	2_17	jacket			jacket	ceket	draft_google_word
4000 Essential English Words::Extra::2_18::jeans	3618	4000 Essential English Words::Extra	2_18	jeans			jeans	kot pantolon	draft_google_word
4000 Essential English Words::Extra::2_19::mittens	3619	4000 Essential English Words::Extra	2_19	mittens			mittens	eldivenler	draft_google_word
4000 Essential English Words::Extra::2_20::necklace	3620	4000 Essential English Words::Extra	2_20	necklace			necklace	kolye	draft_google_word
4000 Essential English Words::Extra::2_21::oval	3621	4000 Essential English Words::Extra	2_21	oval			oval	oval	draft_google_word
4000 Essential English Words::Extra::2_22::overalls	3622	4000 Essential English Words::Extra	2_22	overalls			overalls	tulum	draft_google_word
4000 Essential English Words::Extra::2_23::pajamas	3623	4000 Essential English Words::Extra	2_23	pajamas			pajamas	pijama	draft_google_word
4000 Essential English Words::Extra::2_24::pants	3624	4000 Essential English Words::Extra	2_24	pants			pants	pantolon	draft_google_word
4000 Essential English Words::Extra::2_25::prism	3625	4000 Essential English Words::Extra	2_25	prism			prism	prizma	draft_google_word
4000 Essential English Words::Extra::2_26::pyramid	3626	4000 Essential English Words::Extra	2_26	pyramid			pyramid	piramit	draft_google_word
4000 Essential English Words::Extra::2_27::rectangle	3627	4000 Essential English Words::Extra	2_27	rectangle			rectangle	dikdörtgen	draft_google_word
4000 Essential English Words::Extra::2_28::ring	3628	4000 Essential English Words::Extra	2_28	ring			ring	halka	draft_google_word
4000 Essential English Words::Extra::2_29::scarf	3629	4000 Essential English Words::Extra	2_29	scarf			scarf	eşarp	draft_google_word
4000 Essential English Words::Extra::2_30::semi-circle	3630	4000 Essential English Words::Extra	2_30	semi-circle			semi-circle	yarım daire	draft_google_word
4000 Essential English Words::Extra::2_31::shirt	3631	4000 Essential English Words::Extra	2_31	shirt			shirt	gömlek	draft_google_word
4000 Essential English Words::Extra::2_32::shoes	3632	4000 Essential English Words::Extra	2_32	shoes			shoes	ayakkabı	draft_google_word
4000 Essential English Words::Extra::2_33::shorts	3633	4000 Essential English Words::Extra	2_33	shorts			shorts	şort	draft_google_word
4000 Essential English Words::Extra::2_34::skirt	3634	4000 Essential English Words::Extra	2_34	skirt			skirt	etek	draft_google_word
4000 Essential English Words::Extra::2_35::slippers	3635	4000 Essential English Words::Extra	2_35	slippers			slippers	terlik	draft_google_word
4000 Essential English Words::Extra::2_36::sneakers	3636	4000 Essential English Words::Extra	2_36	sneakers			sneakers	spor ayakkabı	draft_google_word
4000 Essential English Words::Extra::2_37::socks	3637	4000 Essential English Words::Extra	2_37	socks			socks	çorap	draft_google_word
4000 Essential English Words::Extra::2_38::sphere	3638	4000 Essential English Words::Extra	2_38	sphere			sphere	küre	draft_google_word
4000 Essential English Words::Extra::2_39::square	3639	4000 Essential English Words::Extra	2_39	square			square	kare	draft_google_word
4000 Essential English Words::Extra::2_40::suit	3640	4000 Essential English Words::Extra	2_40	suit			suit	takım elbise	draft_google_word
4000 Essential English Words::Extra::2_41::sunglasses	3641	4000 Essential English Words::Extra	2_41	sunglasses			sunglasses	güneş gözlüğü	draft_google_word
4000 Essential English Words::Extra::2_42::sweater	3642	4000 Essential English Words::Extra	2_42	sweater			sweater	kazak	draft_google_word
4000 Essential English Words::Extra::2_43::sweatshirt	3643	4000 Essential English Words::Extra	2_43	sweatshirt			sweatshirt	kazak	draft_google_word
4000 Essential English Words::Extra::2_44::swimsuit	3644	4000 Essential English Words::Extra	2_44	swimsuit			swimsuit	mayo	draft_google_word
4000 Essential English Words::Extra::2_45::tie	3645	4000 Essential English Words::Extra	2_45	tie			tie	kravat	draft_google_word
4000 Essential English Words::Extra::2_46::triangle	3646	4000 Essential English Words::Extra	2_46	triangle			triangle	üçgen	draft_google_word
4000 Essential English Words::Extra::2_47::t-shirt	3647	4000 Essential English Words::Extra	2_47	T-shirt			T-shirt	tişört	draft_google_word
4000 Essential English Words::Extra::2_48::tuxedo	3648	4000 Essential English Words::Extra	2_48	tuxedo			tuxedo	smokin	draft_google_word
4000 Essential English Words::Extra::2_49::umbrella	3649	4000 Essential English Words::Extra	2_49	umbrella			umbrella	şemsiye	draft_google_word
