SourceID	Level	Phrase	Front	Meaning	Examples	Tags
en_phrase_001_good_morning	1	good morning	I said good morning to Maya as soon as she walked in.	Used to greet someone politely in the morning.	Good morning, everyone; let's start with the updates. | I texted good morning to my friend after the morning run. | Good morning sounds like a polite greeting in the break room.	level_1;natural;phrase
en_phrase_002_good_afternoon	1	good afternoon	She said good afternoon to the receptionist and then got her badge.	Used to greet someone politely in the afternoon.	Good afternoon, everyone, I have the afternoon agenda ready. | Our host said good afternoon to the guests on the porch. | Send a good afternoon message if they arrive later.	level_1;natural;phrase
en_phrase_003_good_evening	1	good evening	The host greeted everyone with good evening before the event began.	Used to greet someone politely in the evening.	Good evening, Professor; your talk starts in ten minutes. | The staff used good evening at the customer desk. | We always say good evening when visitors arrive after 6 p.m.	level_1;natural;phrase
en_phrase_004_good_night	1	good night	I said good night to my daughter before I turned off the living-room lights.	Used as a farewell before going to sleep.	Good night, sleep well and we will talk in the morning. | She whispered good night at the end of our call. | We use good night when saying goodbye before bedtime.	level_1;natural;phrase
en_phrase_005_good_day	1	good day	The receptionist replied with good day when a supplier walked in.	Used as a friendly daytime greeting.	Have a good day, and I will send your invoice now. | We wish customers good day in many service scripts. | Good day, let's continue from where we left off.	level_1;natural;phrase
en_phrase_006_good_luck	1	good luck	Before the interview, I wished him good luck and a quiet room.	Used to wish someone success before an effort or test.	Good luck on your presentation; your slides are ready. | The coach said good luck before the final match. | I always say good luck before big exams.	level_1;natural;phrase
en_phrase_007_thank_you	1	thank you	Thank you for helping me carry those boxes up the stairs.	Used to express gratitude politely.	Thank you for sending the updated contract so quickly. | Thank you for checking in; it means a lot. | I wanted to thank you after the meeting.	level_1;natural;phrase
en_phrase_008_thank_you_very_much	1	thank you very much	Thank you very much for staying late to finish the report.	Used to express stronger gratitude than standard thanks.	Thank you very much; your advice saved me hours of work. | Thank you very much for covering my shift. | They thanked us very much when the package arrived on time.	level_1;natural;phrase
en_phrase_009_thanks	1	thanks	Thanks for waiting while I fixed the printer.	A short, casual way to show appreciation.	Thanks for your help; I could not have done it alone. | I dropped by to say thanks to my neighbor. | She replied with thanks and a smile.	level_1;natural;phrase
en_phrase_010_thanks_a_lot	1	thanks a lot	Thanks a lot for the ride home tonight.	A friendly way to say you really appreciate help.	Thanks a lot for rescuing my files before the deadline. | Thanks a lot for explaining the process step by step. | They said thanks a lot when we brought the tools.	level_1;natural;phrase
