#separator:tab
#html:true
Text	Extra	Tags
The room contains {{c1::cats}}.	Use plural noun when more than one is present.	english_grammar level_1 plurals cloze
In our archive, {{c1::documents}}.	Use plural noun when more than one is present.	english_grammar level_1 plurals cloze
The dashboard shows {{c1::errors}}.	Use plural noun when more than one is present.	english_grammar level_1 plurals cloze
On the shelves, the team logged {{c1::tickets}}.	Use plural noun when more than one is present.	english_grammar level_1 plurals cloze
The warehouse now has {{c1::samples}}.	Use plural noun when more than one is present.	english_grammar level_1 plurals cloze
Our clients reviewed {{c1::proposals}}.	Use plural noun when more than one is present.	english_grammar level_1 plurals cloze
During the audit, we tracked {{c1::responses}}.	Use plural noun when more than one is present.	english_grammar level_1 plurals cloze
Security analysts confirmed {{c1::incidents}}.	Use plural noun when more than one is present.	english_grammar level_1 plurals cloze
The report listed {{c1::recommendations}}.	Use plural noun when more than one is present.	english_grammar level_1 plurals cloze
Managers requested {{c1::updates}}.	Use plural noun when more than one is present.	english_grammar level_1 plurals cloze
The committee received {{c1::complaints}}.	Use plural noun when more than one is present.	english_grammar level_1 plurals cloze
Customers submitted {{c1::reviews}}.	Use plural noun when more than one is present.	english_grammar level_1 plurals cloze
They arrived at the station and sat {{c1::on}} the bench.	Choose one preposition that makes this sentence correct.	english_grammar level_1 basic_prepositions cloze
The keys were found {{c1::under}} the table.	Choose one preposition that makes this sentence correct.	english_grammar level_1 basic_prepositions cloze
The bus stopped {{c1::between}} the buildings and moved on.	Choose one preposition that makes this sentence correct.	english_grammar level_1 basic_prepositions cloze
The book is lying {{c1::with}} the documents.	Choose one preposition that makes this sentence correct.	english_grammar level_1 basic_prepositions cloze
{{c1::I}} and you are in the meeting.	Use personal pronouns in subject position.	english_grammar level_1 pronouns cloze
{{c1::You}} and I are in the meeting.	Use personal pronouns in subject position.	english_grammar level_1 pronouns cloze
{{c1::He}} and she are in the meeting.	Use personal pronouns in subject position.	english_grammar level_1 pronouns cloze
{{c1::She}} and we are in the meeting.	Use personal pronouns in subject position.	english_grammar level_1 pronouns cloze
{{c1::We}} and they are in the meeting.	Use personal pronouns in subject position.	english_grammar level_1 pronouns cloze
{{c1::They}} and he are in the meeting.	Use personal pronouns in subject position.	english_grammar level_1 pronouns cloze
{{c1::It}} and we are in the meeting.	Use personal pronouns in subject position.	english_grammar level_1 pronouns cloze
I am {{c1::reading}} a book right now.	Use be + verb+ing for present continuous.	english_grammar level_2 present_continuous cloze
You are {{c1::waiting}} for confirmation right now.	Use be + verb+ing for present continuous.	english_grammar level_2 present_continuous cloze
She is {{c1::working}} on the project right now.	Use be + verb+ing for present continuous.	english_grammar level_2 present_continuous cloze
He is {{c1::studying}} for the interview at the moment.	Use be + verb+ing for present continuous.	english_grammar level_2 present_continuous cloze
We are {{c1::preparing}} the release notes currently.	Use be + verb+ing for present continuous.	english_grammar level_2 present_continuous cloze
They are {{c1::using}} the new tool now.	Use be + verb+ing for present continuous.	english_grammar level_2 present_continuous cloze
I have already {{c1::finished}} the proposal.	Use have/has + past participle.	english_grammar level_2 present_perfect cloze
She has recently {{c1::reviewed}} the pull request.	Use have/has + past participle.	english_grammar level_2 present_perfect cloze
We have just {{c1::started}} the deployment.	Use have/has + past participle.	english_grammar level_2 present_perfect cloze
They have never {{c1::missed}} a weekly status update.	Use have/has + past participle.	english_grammar level_2 present_perfect cloze
He has so far {{c1::completed}} all pre-release checks.	Use have/has + past participle.	english_grammar level_2 present_perfect cloze
I have {{c1::visited}} a production outage review before.	Use have/has + past participle.	english_grammar level_2 present_perfect cloze
Has the lead engineer ever {{c1::reported}} a critical issue?	Use present perfect in questions.	english_grammar level_2 present_perfect cloze
The release candidate {{c1::has passed}} QA already.	Use have/has + V3 in present perfect with recent events.	english_grammar level_2 present_perfect cloze
Before the server migration, the database {{c1::had been backed}} up.	Use had + V3 for action before another past action.	english_grammar level_2 past_perfect cloze
The incident report {{c1::was validated}} by the platform team.	Passive: be + V3, not active subject-verb order.	english_grammar level_2 passive_voice cloze
The architect {{c1::should have checked}} the risk register.	Use modal perfect: modal + have + V3.	english_grammar level_2 common_modals cloze
I {{c1::will}} start the session tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
I {{c1::will}} finish the draft tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
I {{c1::will}} arrive at 9 PM tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
I {{c1::will}} join the project tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
I {{c1::will}} review your notes tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
I {{c1::will}} travel to the office tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
You {{c1::will}} start the session tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
You {{c1::will}} finish the draft tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
You {{c1::will}} arrive at 9 PM tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
You {{c1::will}} join the project tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
You {{c1::will}} review your notes tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
You {{c1::will}} travel to the office tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
He {{c1::will}} start the session tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
He {{c1::will}} finish the draft tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
He {{c1::will}} arrive at 9 PM tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
He {{c1::will}} join the project tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
He {{c1::will}} review your notes tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
He {{c1::will}} travel to the office tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
She {{c1::will}} start the session tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
She {{c1::will}} finish the draft tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
She {{c1::will}} arrive at 9 PM tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
She {{c1::will}} join the project tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
She {{c1::will}} review your notes tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
She {{c1::will}} travel to the office tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
We {{c1::will}} start the session tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
We {{c1::will}} finish the draft tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
We {{c1::will}} arrive at 9 PM tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
We {{c1::will}} join the project tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
We {{c1::will}} review your notes tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
We {{c1::will}} travel to the office tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
They {{c1::will}} start the session tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
They {{c1::will}} finish the draft tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
They {{c1::will}} arrive at 9 PM tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
They {{c1::will}} join the project tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
They {{c1::will}} review your notes tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
They {{c1::will}} travel to the office tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
It {{c1::will}} start the session tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
It {{c1::will}} finish the draft tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
It {{c1::will}} arrive at 9 PM tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
It {{c1::will}} join the project tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
It {{c1::will}} review your notes tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
It {{c1::will}} travel to the office tomorrow.	Future with will.	english_grammar level_2 future_forms cloze
This plan is {{c1::easier}} than the previous one.	Use comparative form of easy.	english_grammar level_2 comparatives cloze
This plan is {{c1::harder}} than the previous one.	Use comparative form of hard.	english_grammar level_2 comparatives cloze
This plan is {{c1::more useful}} than the previous one.	Use comparative form of useful.	english_grammar level_2 comparatives cloze
This plan is {{c1::more careful}} than the previous one.	Use comparative form of careful.	english_grammar level_2 comparatives cloze
This plan is {{c1::taller}} than the previous one.	Use comparative form of tall.	english_grammar level_2 comparatives cloze
This plan is {{c1::better}} than the previous one.	Use comparative form of good.	english_grammar level_2 comparatives cloze
This plan is {{c1::worse}} than the previous one.	Use comparative form of bad.	english_grammar level_2 comparatives cloze
This plan is {{c1::clearer}} than the previous one.	Use comparative form of clear.	english_grammar level_2 comparatives cloze
There is {{c1::much}} useful information in the report.	Use quantity carefully with noun type.	english_grammar level_2 countable_and_uncountable_nouns cloze
The dashboard listed {{c1::many}} issues from last week.	Use quantity carefully with noun type.	english_grammar level_2 countable_and_uncountable_nouns cloze
Can you share {{c1::some}} practical advice with the analyst?	Use quantity carefully with noun type.	english_grammar level_2 countable_and_uncountable_nouns cloze
She added {{c1::a few}} examples to the minutes.	Use quantity carefully with noun type.	english_grammar level_2 countable_and_uncountable_nouns cloze
We have {{c1::a little}} time left before the close.	Use quantity carefully with noun type.	english_grammar level_2 countable_and_uncountable_nouns cloze
The release has {{c1::fewer}} errors than the beta version.	Use quantity carefully with noun type.	english_grammar level_2 countable_and_uncountable_nouns cloze
The model used {{c1::less}} power than the baseline.	Use quantity carefully with noun type.	english_grammar level_2 countable_and_uncountable_nouns cloze
You {{c1::must}} complete the form today.	Modal choice in context.	english_grammar level_2 common_modals cloze
You {{c1::can}} access the archived files.	Modal choice in context.	english_grammar level_2 common_modals cloze
You {{c1::should}} review the test results.	Modal choice in context.	english_grammar level_2 common_modals cloze
You {{c1::might}} need an additional patch.	Modal choice in context.	english_grammar level_2 common_modals cloze
You {{c1::need to}} ask security for approval.	Modal choice in context.	english_grammar level_2 common_modals cloze
The train arrives {{c1::at}} the station.	Common preposition choice.	english_grammar level_2 common_preposition_patterns cloze
The team arrives {{c1::on}} time for meetings.	Common preposition choice.	english_grammar level_2 common_preposition_patterns cloze
She is interested {{c1::in}} robotics.	Common preposition choice.	english_grammar level_2 common_preposition_patterns cloze
The result depends {{c1::on}} the data quality.	Common preposition choice.	english_grammar level_2 common_preposition_patterns cloze
He is responsible {{c1::for}} the final release.	Common preposition choice.	english_grammar level_2 common_preposition_patterns cloze
He is good {{c1::at}} coding.	Common preposition choice.	english_grammar level_2 common_preposition_patterns cloze
They are afraid {{c1::of}} public speaking.	Common preposition choice.	english_grammar level_2 common_preposition_patterns cloze
This design is similar {{c1::to}} the prototype.	Common preposition choice.	english_grammar level_2 common_preposition_patterns cloze
If you study, we {{c1::will}} pass the exam.	Use first conditional with present + will.	english_grammar level_3 conditionals cloze
If it rains, the event {{c1::will}} be postponed.	Use first conditional with present + will.	english_grammar level_3 conditionals cloze
If she arrives, she {{c1::will}} join the meeting.	Use first conditional with present + will.	english_grammar level_3 conditionals cloze
If we start, we {{c1::will}} receive support.	Use first conditional with present + will.	english_grammar level_3 conditionals cloze
If he calls, he {{c1::will}} be credited.	Use first conditional with present + will.	english_grammar level_3 conditionals cloze
If they continue, they {{c1::will}} improve.	Use first conditional with present + will.	english_grammar level_3 conditionals cloze
If I were in charge, I {{c1::would}} take ownership.	Use if + past simple, would + base.	english_grammar level_3 conditionals cloze
If she spoke clearly, we {{c1::would}} trust her answer.	Use if + past simple, would + base.	english_grammar level_3 conditionals cloze
If they trained, they {{c1::would}} solve it.	Use if + past simple, would + base.	english_grammar level_3 conditionals cloze
If we had more time, we {{c1::would}} finish the draft.	Use if + past simple, would + base.	english_grammar level_3 conditionals cloze
If you had studied, we {{c1::would have}} passed.	Use if + past perfect, would have + past participle.	english_grammar level_3 conditionals cloze
If they had checked, the team {{c1::would have}} fixed the issue.	Use if + past perfect, would have + past participle.	english_grammar level_3 conditionals cloze
If she had started, she {{c1::would have}} been ready.	Use if + past perfect, would have + past participle.	english_grammar level_3 conditionals cloze
The report {{c1::was approved}} on Monday.	Use passive construction.	english_grammar level_3 passive_voice cloze
The report {{c1::was approved}} yesterday.	Use passive construction.	english_grammar level_3 passive_voice cloze
The files {{c1::were approved}} on Monday.	Use passive construction.	english_grammar level_3 passive_voice cloze
The files {{c1::were approved}} yesterday.	Use passive construction.	english_grammar level_3 passive_voice cloze
The team {{c1::was prepared}} on Monday.	Use passive construction.	english_grammar level_3 passive_voice cloze
The team {{c1::was prepared}} yesterday.	Use passive construction.	english_grammar level_3 passive_voice cloze
The project {{c1::was launched}} on Monday.	Use passive construction.	english_grammar level_3 passive_voice cloze
The project {{c1::was launched}} yesterday.	Use passive construction.	english_grammar level_3 passive_voice cloze
The letters {{c1::were sent}} on Monday.	Use passive construction.	english_grammar level_3 passive_voice cloze
The letters {{c1::were sent}} yesterday.	Use passive construction.	english_grammar level_3 passive_voice cloze
The door {{c1::was closed}} on Monday.	Use passive construction.	english_grammar level_3 passive_voice cloze
The door {{c1::was closed}} yesterday.	Use passive construction.	english_grammar level_3 passive_voice cloze
The meetings {{c1::were postponed}} on Monday.	Use passive construction.	english_grammar level_3 passive_voice cloze
The meetings {{c1::were postponed}} yesterday.	Use passive construction.	english_grammar level_3 passive_voice cloze
The engineer {{c1::who}} fixed the bug explained the cause.	Choose the relative word that fits the noun and context.	english_grammar level_3 relative_clauses cloze
The file {{c1::that}} you sent yesterday is corrupted.	Choose the relative word that fits the noun and context.	english_grammar level_3 relative_clauses cloze
The office {{c1::where}} we met is closed today.	Choose the relative word that fits the noun and context.	english_grammar level_3 relative_clauses cloze
Monday was the day {{c1::when}} the audit started.	Choose the relative word that fits the noun and context.	english_grammar level_3 relative_clauses cloze
That is the reason {{c1::why}} the server failed.	Choose the relative word that fits the noun and context.	english_grammar level_3 relative_clauses cloze
The tool {{c1::which}} we use for testing is reliable.	Choose the relative word that fits the noun and context.	english_grammar level_3 relative_clauses cloze
The candidate {{c1::whose}} resume impressed us accepted the offer.	Choose the relative word that fits the noun and context.	english_grammar level_3 relative_clauses cloze
The client {{c1::whom}} I called this morning answered quickly.	Choose the relative word that fits the noun and context.	english_grammar level_3 relative_clauses cloze
I enjoy {{c1::doing}} quiet work in the morning.	Some verbs take a gerund and others take an infinitive.	english_grammar level_3 gerund_vs_infinitive cloze
