#separator:tab
#html:true
SourceID	DeckPath	Level	Topic	CardType	PromptMode	Front	Answer	TypeAnswer	Back	Formula	Examples	Audio	AudioURL	Source	Attribution	SelfGrade	Tags
en_phrase_001_good_morning::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>Used to greet someone politely in the morning.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>I said _____ to Maya as soon as she walked in."	good morning	good morning	Used to greet someone politely in the morning.	Retrieve the full phrase from meaning and sentence context.	- Good morning, everyone; let&#x27;s start with the updates.<br>- I texted good morning to my friend after the morning run.<br>- Good morning sounds like a polite greeting in the break room.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_002_good_afternoon::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>Used to greet someone politely in the afternoon.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>She said _____ to the receptionist and then got her badge."	good afternoon	good afternoon	Used to greet someone politely in the afternoon.	Retrieve the full phrase from meaning and sentence context.	- Good afternoon, everyone, I have the afternoon agenda ready.<br>- Our host said good afternoon to the guests on the porch.<br>- Send a good afternoon message if they arrive later.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_003_good_evening::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>Used to greet someone politely in the evening.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>The host greeted everyone with _____ before the event began."	good evening	good evening	Used to greet someone politely in the evening.	Retrieve the full phrase from meaning and sentence context.	- Good evening, Professor; your talk starts in ten minutes.<br>- The staff used good evening at the customer desk.<br>- We always say good evening when visitors arrive after 6 p.m.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_004_good_night::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>Used as a farewell before going to sleep.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>I said _____ to my daughter before I turned off the living-room lights."	good night	good night	Used as a farewell before going to sleep.	Retrieve the full phrase from meaning and sentence context.	- Good night, sleep well and we will talk in the morning.<br>- She whispered good night at the end of our call.<br>- We use good night when saying goodbye before bedtime.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_005_good_day::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>Used as a friendly daytime greeting.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>The receptionist replied with _____ when a supplier walked in."	good day	good day	Used as a friendly daytime greeting.	Retrieve the full phrase from meaning and sentence context.	- Have a good day, and I will send your invoice now.<br>- We wish customers good day in many service scripts.<br>- Good day, let&#x27;s continue from where we left off.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_006_good_luck::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>Used to wish someone success before an effort or test.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>Before the interview, I wished him _____ and a quiet room."	good luck	good luck	Used to wish someone success before an effort or test.	Retrieve the full phrase from meaning and sentence context.	- Good luck on your presentation; your slides are ready.<br>- The coach said good luck before the final match.<br>- I always say good luck before big exams.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_007_thank_you::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>Used to express gratitude politely.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____ for helping me carry those boxes up the stairs."	thank you	thank you	Used to express gratitude politely.	Retrieve the full phrase from meaning and sentence context.	- Thank you for sending the updated contract so quickly.<br>- Thank you for checking in; it means a lot.<br>- I wanted to thank you after the meeting.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_008_thank_you_very_much::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>Used to express stronger gratitude than standard thanks.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____ for staying late to finish the report."	thank you very much	thank you very much	Used to express stronger gratitude than standard thanks.	Retrieve the full phrase from meaning and sentence context.	- Thank you very much; your advice saved me hours of work.<br>- Thank you very much for covering my shift.<br>- They thanked us very much when the package arrived on time.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_009_thanks::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>A short, casual way to show appreciation.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____ for waiting while I fixed the printer."	thanks	thanks	A short, casual way to show appreciation.	Retrieve the full phrase from meaning and sentence context.	- Thanks for your help; I could not have done it alone.<br>- I dropped by to say thanks to my neighbor.<br>- She replied with thanks and a smile.						english_mastery level_1 natural_phrases phrase_cloze
en_phrase_010_thanks_a_lot::phrase_cloze	English Mastery::Natural Phrases	level_1	natural phrases	phrase_cloze	type_exact	"<span class=""front-cue""><span class=""front-label"">Meaning cue</span><br>A friendly way to say you really appreciate help.</span><br><br><span class=""front-instruction"">Complete naturally</span><br>_____ for the ride home tonight."	thanks a lot	thanks a lot	A friendly way to say you really appreciate help.	Retrieve the full phrase from meaning and sentence context.	- Thanks a lot for rescuing my files before the deadline.<br>- Thanks a lot for explaining the process step by step.<br>- They said thanks a lot when we brought the tools.						english_mastery level_1 natural_phrases phrase_cloze
