#separator:tab
#html:true
SourceID	Level	Topic	CardType	CardTypeLabel	Front	Answer	Explanation	Examples	CommonMistake	SelfGrade	Tags
a0_survival::pronunciation_and_accent_marks::rule	a0_survival	pronunciation and accent marks	rule	Rule	Rule: pronunciation and accent marks	<b>Formula</b><br>á, é, í, ó, ú mark stressed vowels; ñ is a separate sound; h is silent.<br><br><b>Use</b><br>Use accent marks and special letters as part of spelling, not decoration.	Memorize the pattern first; the other cards in this topic make you use it.	- sí = yes<br>- si = if<br>- año = year<br>- hablo = I speak	ano without ñ is a different word. Keep ñ.	Good = remembered the formula and examples. Hard = remembered one part. Again = could not explain it.	spanish_grammar grammar_maintenance a0_survival pronunciation_and_accent_marks rule
a0_survival::pronunciation_and_accent_marks::choose	a0_survival	pronunciation and accent marks	choose	Choose	Choose the Spanish spelling for 'year':<br>A) ano<br>B) año	B) año	ñ changes the sound and the meaning.	- sí = yes<br>- si = if<br>- año = year<br>- hablo = I speak	ano without ñ is a different word. Keep ñ.	Good = chose correctly and knew why. Hard = guessed correctly. Again = chose wrong.	spanish_grammar grammar_maintenance a0_survival pronunciation_and_accent_marks choose
a0_survival::pronunciation_and_accent_marks::correction	a0_survival	pronunciation and accent marks	correction	Correction	Correct this Spanish: Si, estudio espanol.	Sí, estudio español.	Accent marks matter: sí = yes; español has ñ.	- sí = yes<br>- si = if<br>- año = year<br>- hablo = I speak	ano without ñ is a different word. Keep ñ.	Good = fixed it and named the rule. Hard = fixed it only. Again = missed the correction.	spanish_grammar grammar_maintenance a0_survival pronunciation_and_accent_marks correction
a0_survival::pronunciation_and_accent_marks::production	a0_survival	pronunciation and accent marks	production	Production	Write in Spanish: Yes, I speak Spanish.	Sí, hablo español.	This uses sí with an accent and español with ñ.	- sí = yes<br>- si = if<br>- año = year<br>- hablo = I speak	ano without ñ is a different word. Keep ñ.	Good = produced the target sentence. Hard = minor gender/accent/ending issue. Again = wrong pattern.	spanish_grammar grammar_maintenance a0_survival pronunciation_and_accent_marks production
a0_survival::pronunciation_and_accent_marks::pattern	a0_survival	pronunciation and accent marks	pattern	Mini pattern	Mini pattern: sí/no answer	Sí, + sentence. / No, + sentence.	This is a reusable sentence chunk. Practice swapping one word at a time.	- Sí, estudio.<br>- No, trabajo.<br>- Sí, hablo español.	ano without ñ is a different word. Keep ñ.	Good = could reuse the pattern with a new word. Hard = recognized only. Again = did not remember it.	spanish_grammar grammar_maintenance a0_survival pronunciation_and_accent_marks pattern
a0_survival::noun_gender::rule	a0_survival	noun gender	rule	Rule	Rule: noun gender	<b>Formula</b><br>el + masculine noun; la + feminine noun<br><br><b>Use</b><br>Every Spanish noun has grammatical gender. Learn the article with the noun.	Memorize the pattern first; the other cards in this topic make you use it.	- el libro<br>- la casa<br>- el problema	Many -a words are feminine, but el problema is masculine.	Good = remembered the formula and examples. Hard = remembered one part. Again = could not explain it.	spanish_grammar grammar_maintenance a0_survival noun_gender rule
a0_survival::noun_gender::choose	a0_survival	noun gender	choose	Choose	Choose: ___ libro<br>A) el<br>B) la	A) el libro	libro is masculine.	- el libro<br>- la casa<br>- el problema	Many -a words are feminine, but el problema is masculine.	Good = chose correctly and knew why. Hard = guessed correctly. Again = chose wrong.	spanish_grammar grammar_maintenance a0_survival noun_gender choose
a0_survival::noun_gender::correction	a0_survival	noun gender	correction	Correction	Correct this Spanish: la problema	el problema	problema ends in -a but is masculine.	- el libro<br>- la casa<br>- el problema	Many -a words are feminine, but el problema is masculine.	Good = fixed it and named the rule. Hard = fixed it only. Again = missed the correction.	spanish_grammar grammar_maintenance a0_survival noun_gender correction
a0_survival::noun_gender::production	a0_survival	noun gender	production	Production	Write in Spanish: the house	la casa	casa is feminine.	- el libro<br>- la casa<br>- el problema	Many -a words are feminine, but el problema is masculine.	Good = produced the target sentence. Hard = minor gender/accent/ending issue. Again = wrong pattern.	spanish_grammar grammar_maintenance a0_survival noun_gender production
a0_survival::noun_gender::pattern	a0_survival	noun gender	pattern	Mini pattern	Mini pattern: article + noun	el/la + noun	This is a reusable sentence chunk. Practice swapping one word at a time.	- el libro<br>- la mesa<br>- el mapa	Many -a words are feminine, but el problema is masculine.	Good = could reuse the pattern with a new word. Hard = recognized only. Again = did not remember it.	spanish_grammar grammar_maintenance a0_survival noun_gender pattern
a0_survival::plural_nouns::rule	a0_survival	plural nouns	rule	Rule	Rule: plural nouns	<b>Formula</b><br>vowel + s; consonant + es<br><br><b>Use</b><br>Make nouns plural according to their ending.	Memorize the pattern first; the other cards in this topic make you use it.	- libro -> libros<br>- casa -> casas<br>- ciudad -> ciudades	The article changes too: el libro -> los libros.	Good = remembered the formula and examples. Hard = remembered one part. Again = could not explain it.	spanish_grammar grammar_maintenance a0_survival plural_nouns rule
a0_survival::plural_nouns::choose	a0_survival	plural nouns	choose	Choose	Choose: two cities = dos ___<br>A) ciudad<br>B) ciudades	B) dos ciudades	A consonant-ending noun often adds -es.	- libro -> libros<br>- casa -> casas<br>- ciudad -> ciudades	The article changes too: el libro -> los libros.	Good = chose correctly and knew why. Hard = guessed correctly. Again = chose wrong.	spanish_grammar grammar_maintenance a0_survival plural_nouns choose
a0_survival::plural_nouns::correction	a0_survival	plural nouns	correction	Correction	Correct this Spanish: los ciudad	las ciudades	ciudad is feminine; plural is ciudades.	- libro -> libros<br>- casa -> casas<br>- ciudad -> ciudades	The article changes too: el libro -> los libros.	Good = fixed it and named the rule. Hard = fixed it only. Again = missed the correction.	spanish_grammar grammar_maintenance a0_survival plural_nouns correction
a0_survival::plural_nouns::production	a0_survival	plural nouns	production	Production	Write in Spanish: the books	los libros	el becomes los and libro becomes libros.	- libro -> libros<br>- casa -> casas<br>- ciudad -> ciudades	The article changes too: el libro -> los libros.	Good = produced the target sentence. Hard = minor gender/accent/ending issue. Again = wrong pattern.	spanish_grammar grammar_maintenance a0_survival plural_nouns production
a0_survival::plural_nouns::pattern	a0_survival	plural nouns	pattern	Mini pattern	Mini pattern: plural article + noun	los/las + plural noun	This is a reusable sentence chunk. Practice swapping one word at a time.	- los libros<br>- las casas<br>- las ciudades	The article changes too: el libro -> los libros.	Good = could reuse the pattern with a new word. Hard = recognized only. Again = did not remember it.	spanish_grammar grammar_maintenance a0_survival plural_nouns pattern
a0_survival::adjective_agreement::rule	a0_survival	adjective agreement	rule	Rule	Rule: adjective agreement	<b>Formula</b><br>noun + adjective; adjective agrees in gender and number<br><br><b>Use</b><br>Most descriptive adjectives come after the noun and match it.	Memorize the pattern first; the other cards in this topic make you use it.	- el libro rojo<br>- la casa roja<br>- los libros rojos	Do not keep the masculine adjective for every noun.	Good = remembered the formula and examples. Hard = remembered one part. Again = could not explain it.	spanish_grammar grammar_maintenance a0_survival adjective_agreement rule
