#separator:tab
#html:true
SourceID	Level	Phrase	Front	FrontHTML	Meaning	Examples	Tags
en_phrase_001_good_morning	level_1	good morning	I said good morning to Maya as soon as she walked in.	"I said <span class=""target-phrase"">good morning</span> to Maya as soon as she walked in."	Used to greet someone politely in the morning.	- Good morning, everyone; let's start with the updates.<br>- I texted good morning to my friend after the morning run.<br>- Good morning sounds like a polite greeting in the break room.	english_phrases natural_phrases level_1 natural phrase good_morning
en_phrase_002_good_afternoon	level_1	good afternoon	She said good afternoon to the receptionist and then got her badge.	"She said <span class=""target-phrase"">good afternoon</span> to the receptionist and then got her badge."	Used to greet someone politely in the afternoon.	- Good afternoon, everyone, I have the afternoon agenda ready.<br>- Our host said good afternoon to the guests on the porch.<br>- Send a good afternoon message if they arrive later.	english_phrases natural_phrases level_1 natural phrase good_afternoon
en_phrase_003_good_evening	level_1	good evening	The host greeted everyone with good evening before the event began.	"The host greeted everyone with <span class=""target-phrase"">good evening</span> before the event began."	Used to greet someone politely in the evening.	- Good evening, Professor; your talk starts in ten minutes.<br>- The staff used good evening at the customer desk.<br>- We always say good evening when visitors arrive after 6 p.m.	english_phrases natural_phrases level_1 natural phrase good_evening
en_phrase_004_good_night	level_1	good night	I said good night to my daughter before I turned off the living-room lights.	"I said <span class=""target-phrase"">good night</span> to my daughter before I turned off the living-room lights."	Used as a farewell before going to sleep.	- Good night, sleep well and we will talk in the morning.<br>- She whispered good night at the end of our call.<br>- We use good night when saying goodbye before bedtime.	english_phrases natural_phrases level_1 natural phrase good_night
en_phrase_005_good_day	level_1	good day	The receptionist replied with good day when a supplier walked in.	"The receptionist replied with <span class=""target-phrase"">good day</span> when a supplier walked in."	Used as a friendly daytime greeting.	- Have a good day, and I will send your invoice now.<br>- We wish customers good day in many service scripts.<br>- Good day, let's continue from where we left off.	english_phrases natural_phrases level_1 natural phrase good_day
en_phrase_006_good_luck	level_1	good luck	Before the interview, I wished him good luck and a quiet room.	"Before the interview, I wished him <span class=""target-phrase"">good luck</span> and a quiet room."	Used to wish someone success before an effort or test.	- Good luck on your presentation; your slides are ready.<br>- The coach said good luck before the final match.<br>- I always say good luck before big exams.	english_phrases natural_phrases level_1 natural phrase good_luck
en_phrase_007_thank_you	level_1	thank you	Thank you for helping me carry those boxes up the stairs.	"<span class=""target-phrase"">Thank you</span> for helping me carry those boxes up the stairs."	Used to express gratitude politely.	- Thank you for sending the updated contract so quickly.<br>- Thank you for checking in; it means a lot.<br>- I wanted to thank you after the meeting.	english_phrases natural_phrases level_1 natural phrase thank_you
en_phrase_008_thank_you_very_much	level_1	thank you very much	Thank you very much for staying late to finish the report.	"<span class=""target-phrase"">Thank you very much</span> for staying late to finish the report."	Used to express stronger gratitude than standard thanks.	- Thank you very much; your advice saved me hours of work.<br>- Thank you very much for covering my shift.<br>- They thanked us very much when the package arrived on time.	english_phrases natural_phrases level_1 natural phrase thank_you_very_much
en_phrase_009_thanks	level_1	thanks	Thanks for waiting while I fixed the printer.	"<span class=""target-phrase"">Thanks</span> for waiting while I fixed the printer."	A short, casual way to show appreciation.	- Thanks for your help; I could not have done it alone.<br>- I dropped by to say thanks to my neighbor.<br>- She replied with thanks and a smile.	english_phrases natural_phrases level_1 natural phrase thanks
en_phrase_010_thanks_a_lot	level_1	thanks a lot	Thanks a lot for the ride home tonight.	"<span class=""target-phrase"">Thanks a lot</span> for the ride home tonight."	A friendly way to say you really appreciate help.	- Thanks a lot for rescuing my files before the deadline.<br>- Thanks a lot for explaining the process step by step.<br>- They said thanks a lot when we brought the tools.	english_phrases natural_phrases level_1 natural phrase thanks_a_lot
en_phrase_011_thanks_so_much	level_1	thanks so much	Thanks so much for staying on the line while we sorted the issue.	"<span class=""target-phrase"">Thanks so much</span> for staying on the line while we sorted the issue."	A warm, emphatic way to show gratitude.	- Thanks so much for finding time in your schedule.<br>- Thanks so much, I learned a lot from your feedback.<br>- We all said thanks so much after the presentation.	english_phrases natural_phrases level_1 natural phrase thanks_so_much
en_phrase_012_you_re_welcome	level_1	you're welcome	You're welcome is a natural way to answer after a thank-you.	"<span class=""target-phrase"">You&#x27;re welcome</span> is a natural way to answer after a thank-you."	A polite reply to someone saying thanks.	- You're welcome, it was no trouble at all.<br>- She smiled and said you're welcome after I thanked her.<br>- You can reply with you're welcome at work too.	english_phrases natural_phrases level_1 natural phrase you_re_welcome
en_phrase_013_you_are_welcome	level_1	you are welcome	You are welcome to join us for lunch after the workshop.	"<span class=""target-phrase"">You are welcome</span> to join us for lunch after the workshop."	Used to say someone is allowed or invited to do something.	- You are welcome to wait here while the room is prepared.<br>- You are welcome to ask questions after the demo.<br>- Guests are welcome to use the side entrance.	english_phrases natural_phrases level_1 natural phrase you_are_welcome
