selection_version	level	topic	target	spa_id	spa_text	eng_id	eng_text	audio_id	audio_contributor	audio_license	license
7	a0_survival	sentence mining	hay	456112	Hay neblina.	456111	It is foggy.				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a0_survival	sentence mining	hay	456026	¿Hay neblina?	456025	Is it foggy?				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a0_survival	sentence mining	hay	463093	Hay relámpagos.	463092	There is lightning.				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a0_survival	sentence mining	hay	456066	¿Hay ascensor?	383819	Is there an elevator?				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a0_survival	sentence mining	hay	449319	¿Hay algo importante?	1105374	Is there anything important?	598030	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a0_survival	sentence mining	es	2840	¿Es grave?	1665	Is it serious?	1507	marcelostockle	CC BY-NC 4.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a0_survival	sentence mining	es	2758	Es una sorpresa.	1567	It's a surprise.	1465	marcelostockle	CC BY-NC 4.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a0_survival	sentence mining	es	331676	¿Es esto un río?	56259	Is this a river?				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a0_survival	sentence mining	es	330113	¿Es usted japonés?	281706	Are you Japanese?	442874	arh	CC BY-NC-ND 3.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a0_survival	sentence mining	es	2496	¿Es una foto reciente?	1291	Is it a recent picture?	1308	marcelostockle	CC BY-NC 4.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a0_survival	sentence mining	soy	503555	Soy yo.	42400	It's me.	38227	marcelostockle	CC BY-NC 4.0	Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
7	a0_survival	sentence mining	soy	526220	Soy gay.	1022461	I'm gay.				Tatoeba sentence text, CC BY 2.0 FR unless marked otherwise by contributor export.
