English	English Meaning	English Example	Spanish	Pronunciation Hint	Spanish Meaning	Spanish Example	Spanish Meaning (English)	Spanish Example (English)	Spanish Article	Spanish Gender	Spanish Number	Spanish Part of Speech	Spanish Forms	Notes	Status	Source Deck	Source Card	Tags
backpack			la mochila	la mo-ÇI-la	Bolsa usada para llevar objetos en la espalda.	Guardo mis libros en la mochila.	Bag used to carry objects on the back.	I keep my books in my backpack.	la	feminine	singular	noun	singular: la mochila; plural: las mochilas		reviewed	4000 Essential English Words::Extra	2_1	spanish from_4000_english 4000_essential_english_words_extra reviewed
bathrobe			la bata	la BA-ta	Prenda suelta que se pone sobre la ropa de diario o al salir de la ducha.	Me pongo la bata después de bañarme.	Loose garment that you put on over your daily clothes or when you get out of the shower.	I put on my robe after taking a bath.	la	feminine	singular	noun	singular: la bata; plural: las batas		reviewed	4000 Essential English Words::Extra	2_2	spanish from_4000_english 4000_essential_english_words_extra reviewed
belt			el cinturón	el sin-tu-RON	Pieza para ceñir o ajustar la cintura.	El cinturón me sujeta los pantalones.	Piece to cinch or adjust the waist.	The belt holds my pants up.	el	masculine	singular	noun	singular: el cinturón; plural: los cinturones		reviewed	4000 Essential English Words::Extra	2_3	spanish from_4000_english 4000_essential_english_words_extra reviewed
blouse			la blusa	la BLU-sa	Prenda ligera de vestir para la parte superior del cuerpo.	La blusa de la tienda es de seda.	Light clothing item for the upper part of the body.	The store's blouse is silk.	la	feminine	singular	noun	singular: la blusa; plural: las blusas		reviewed	4000 Essential English Words::Extra	2_4	spanish from_4000_english 4000_essential_english_words_extra reviewed
boots			las botas	las BO-tas	Calzado de caña alta para protección o frío.	Compro botas nuevas para el invierno.	High-top footwear for protection or cold.	I buy new boots for the winter.	las	feminine	plural	noun	singular: la bota; plural: las botas		reviewed	4000 Essential English Words::Extra	2_5	spanish from_4000_english 4000_essential_english_words_extra reviewed
boxers			los boxers	los bo-XER-s	Ropa interior masculina corta y suelta.	Lavo mis boxers una vez por semana.	Short and loose men's underwear.	I wash my boxers once a week.	los	masculine	plural	noun	singular: el boxer; plural: los boxers		reviewed	4000 Essential English Words::Extra	2_6	spanish from_4000_english 4000_essential_english_words_extra reviewed
cap			la gorra	la GOR-ra	Prenda que cubre la cabeza en la parte superior.	Llevo la gorra cuando salgo al sol.	Garment that covers the head at the top.	I wear the cap when I go out in the sun.	la	feminine	singular	noun	singular: la gorra; plural: las gorras		reviewed	4000 Essential English Words::Extra	2_7	spanish from_4000_english 4000_essential_english_words_extra reviewed
circle			el círculo	el SIR-ku-lo	Figura plana redonda en forma de perímetro.	Dibujé un círculo en la pizarra.	Round flat figure in the shape of a perimeter.	I drew a circle on the board.	el	masculine	singular	noun	singular: el círculo; plural: los círculos		reviewed	4000 Essential English Words::Extra	2_8	spanish from_4000_english 4000_essential_english_words_extra reviewed
coat			el abrigo	el a-BRI-go	Prenda gruesa para abrigarse en frío.	El abrigo me protege del viento.	Thick garment to keep warm in the cold.	The coat protects me from the wind.	el	masculine	singular	noun	singular: el abrigo; plural: los abrigos		reviewed	4000 Essential English Words::Extra	2_9	spanish from_4000_english 4000_essential_english_words_extra reviewed
cone			el cono	el KO-no	Figura con base circular y punta.	El helado tiene forma de cono.	Figure with circular base and tip.	The ice cream is shaped like a cone.	el	masculine	singular	noun	singular: el cono; plural: los conos		reviewed	4000 Essential English Words::Extra	2_10	spanish from_4000_english 4000_essential_english_words_extra reviewed
