#separator:tab
#html:true
SourceID	DeckPath	Level	Topic	CardType	PromptMode	Front	Answer	TypeAnswer	Back	Formula	Examples	Audio	AudioURL	AudioContributor	AudioLicense	AudioID	Source	Attribution	Tags
a0_survival::pronunciation_and_accent_marks::rule	Spanish Core Learning::A0 Survival	a0_survival	pronunciation and accent marks	rule	self_grade	"<span class=""front-instruction"">Rule</span><br>pronunciation and accent marks"	á, é, í, ó, ú mark stressed vowels; ñ is a separate sound; h is silent		<b>Use</b><br>Use accent marks and special letters as part of spelling, not decoration.<br><br><b>Common trap</b><br>ano without ñ is a different word. Keep ñ.	Decision rule<br>Use accent marks and special letters as part of spelling, not decoration.<br><br>Pattern<br>á, é, í, ó, ú mark stressed vowels; ñ is a separate sound; h is silent.<br><br>Common trap<br>ano without ñ is a different word. Keep ñ.	- sí = yes<br>- si = if<br>- año = year<br>- hablo = I speak								spanish_core a0_survival pronunciation_and_accent_marks rule
a0_survival::pronunciation_and_accent_marks::typed_contrast	Spanish Core Learning::A0 Survival	a0_survival	pronunciation and accent marks	typed_contrast	type_exact	"<span class=""front-instruction"">Type the correct Spanish form</span><br>year<br><span class=""front-cue"">Contrast: ano / año</span>"	año	año	ñ changes the sound and the meaning.<br><br>Full sentence: año	Decision rule<br>Use accent marks and special letters as part of spelling, not decoration.<br><br>Pattern<br>á, é, í, ó, ú mark stressed vowels; ñ is a separate sound; h is silent.<br><br>Common trap<br>ano without ñ is a different word. Keep ñ.	- sí = yes<br>- si = if<br>- año = year<br>- hablo = I speak								spanish_core a0_survival pronunciation_and_accent_marks typed_contrast
a0_survival::pronunciation_and_accent_marks::typed_correction	Spanish Core Learning::A0 Survival	a0_survival	pronunciation and accent marks	typed_correction	type_compare	"<span class=""front-instruction"">Correct the learner error</span><br><span class=""wrong-spanish"">Si, estudio espanol.</span>"	Sí, estudio español	Sí, estudio español	Accent marks matter: sí = yes; español has ñ.	Decision rule<br>Use accent marks and special letters as part of spelling, not decoration.<br><br>Pattern<br>á, é, í, ó, ú mark stressed vowels; ñ is a separate sound; h is silent.<br><br>Common trap<br>ano without ñ is a different word. Keep ñ.	- sí = yes<br>- si = if<br>- año = year<br>- hablo = I speak								spanish_core a0_survival pronunciation_and_accent_marks typed_correction
a0_survival::pronunciation_and_accent_marks::typed_production	Spanish Core Learning::A0 Survival	a0_survival	pronunciation and accent marks	typed_production	type_exact	"<span class=""front-instruction"">Write in Spanish</span><br> Yes, I speak Spanish."	Sí, hablo español	Sí, hablo español	This uses sí with an accent and español with ñ.	Decision rule<br>Use accent marks and special letters as part of spelling, not decoration.<br><br>Pattern<br>á, é, í, ó, ú mark stressed vowels; ñ is a separate sound; h is silent.<br><br>Common trap<br>ano without ñ is a different word. Keep ñ.	- sí = yes<br>- si = if<br>- año = year<br>- hablo = I speak								spanish_core a0_survival pronunciation_and_accent_marks typed_production
a0_survival::noun_gender::rule	Spanish Core Learning::A0 Survival	a0_survival	noun gender	rule	self_grade	"<span class=""front-instruction"">Rule</span><br>noun gender"	el + masculine noun; la + feminine noun		<b>Use</b><br>Every Spanish noun has grammatical gender. Learn the article with the noun.<br><br><b>Common trap</b><br>Many -a words are feminine, but el problema is masculine.	Decision rule<br>Learn nouns with their article. Gender controls articles and adjective endings.<br><br>Pattern<br>el + masculine noun; la + feminine noun<br><br>Common trap<br>Many -a words are feminine, but el problema is masculine.	- el libro<br>- la casa<br>- el problema								spanish_core a0_survival noun_gender rule
a0_survival::noun_gender::typed_contrast	Spanish Core Learning::A0 Survival	a0_survival	noun gender	typed_contrast	type_exact	"<span class=""front-instruction"">Type the correct Spanish form</span><br>_____ libro<br><span class=""front-cue"">Contrast: el / la</span>"	el	el	libro is masculine.<br><br>Full sentence: el libro	Decision rule<br>Learn nouns with their article. Gender controls articles and adjective endings.<br><br>Pattern<br>el + masculine noun; la + feminine noun<br><br>Common trap<br>Many -a words are feminine, but el problema is masculine.	- el libro<br>- la casa<br>- el problema								spanish_core a0_survival noun_gender typed_contrast
a0_survival::noun_gender::typed_correction	Spanish Core Learning::A0 Survival	a0_survival	noun gender	typed_correction	type_compare	"<span class=""front-instruction"">Correct the learner error</span><br><span class=""wrong-spanish"">la problema</span>"	el problema	el problema	problema ends in -a but is masculine.	Decision rule<br>Learn nouns with their article. Gender controls articles and adjective endings.<br><br>Pattern<br>el + masculine noun; la + feminine noun<br><br>Common trap<br>Many -a words are feminine, but el problema is masculine.	- el libro<br>- la casa<br>- el problema								spanish_core a0_survival noun_gender typed_correction
a0_survival::noun_gender::typed_production	Spanish Core Learning::A0 Survival	a0_survival	noun gender	typed_production	type_exact	"<span class=""front-instruction"">Write in Spanish</span><br> the house"	la casa	la casa	casa is feminine.	Decision rule<br>Learn nouns with their article. Gender controls articles and adjective endings.<br><br>Pattern<br>el + masculine noun; la + feminine noun<br><br>Common trap<br>Many -a words are feminine, but el problema is masculine.	- el libro<br>- la casa<br>- el problema								spanish_core a0_survival noun_gender typed_production
a0_survival::plural_nouns::rule	Spanish Core Learning::A0 Survival	a0_survival	plural nouns	rule	self_grade	"<span class=""front-instruction"">Rule</span><br>plural nouns"	vowel + s; consonant + es		<b>Use</b><br>Make nouns plural according to their ending.<br><br><b>Common trap</b><br>The article changes too: el libro -> los libros.	Decision rule<br>Choose plural endings from the final sound of the singular noun.<br><br>Pattern<br>vowel + s; consonant + es<br><br>Common trap<br>The article changes too: el libro -&gt; los libros.	- libro -> libros<br>- casa -> casas<br>- ciudad -> ciudades								spanish_core a0_survival plural_nouns rule
a0_survival::plural_nouns::typed_contrast	Spanish Core Learning::A0 Survival	a0_survival	plural nouns	typed_contrast	type_exact	"<span class=""front-instruction"">Type the correct Spanish form</span><br>two cities = dos _____<br><span class=""front-cue"">Contrast: ciudad / ciudades</span>"	dos ciudades	dos ciudades	A consonant-ending noun often adds -es.<br><br>Full sentence: dos ciudades	Decision rule<br>Choose plural endings from the final sound of the singular noun.<br><br>Pattern<br>vowel + s; consonant + es<br><br>Common trap<br>The article changes too: el libro -&gt; los libros.	- libro -> libros<br>- casa -> casas<br>- ciudad -> ciudades								spanish_core a0_survival plural_nouns typed_contrast
a0_survival::plural_nouns::typed_correction	Spanish Core Learning::A0 Survival	a0_survival	plural nouns	typed_correction	type_compare	"<span class=""front-instruction"">Correct the learner error</span><br><span class=""wrong-spanish"">los ciudad</span>"	las ciudades	las ciudades	ciudad is feminine; plural is ciudades.	Decision rule<br>Choose plural endings from the final sound of the singular noun.<br><br>Pattern<br>vowel + s; consonant + es<br><br>Common trap<br>The article changes too: el libro -&gt; los libros.	- libro -> libros<br>- casa -> casas<br>- ciudad -> ciudades								spanish_core a0_survival plural_nouns typed_correction
a0_survival::plural_nouns::typed_production	Spanish Core Learning::A0 Survival	a0_survival	plural nouns	typed_production	type_exact	"<span class=""front-instruction"">Write in Spanish</span><br> the books"	los libros	los libros	el becomes los and libro becomes libros.	Decision rule<br>Choose plural endings from the final sound of the singular noun.<br><br>Pattern<br>vowel + s; consonant + es<br><br>Common trap<br>The article changes too: el libro -&gt; los libros.	- libro -> libros<br>- casa -> casas<br>- ciudad -> ciudades								spanish_core a0_survival plural_nouns typed_production
a0_survival::adjective_agreement::rule	Spanish Core Learning::A0 Survival	a0_survival	adjective agreement	rule	self_grade	"<span class=""front-instruction"">Rule</span><br>adjective agreement"	noun + adjective; adjective agrees in gender and number		<b>Use</b><br>Most descriptive adjectives come after the noun and match it.<br><br><b>Common trap</b><br>Do not keep the masculine adjective for every noun.	Decision rule<br>Adjectives change to match the noun in gender and number.<br><br>Pattern<br>noun + adjective; adjective agrees in gender and number<br><br>Common trap<br>Do not keep the masculine adjective for every noun.	- el libro rojo<br>- la casa roja<br>- los libros rojos								spanish_core a0_survival adjective_agreement rule
a0_survival::adjective_agreement::typed_contrast	Spanish Core Learning::A0 Survival	a0_survival	adjective agreement	typed_contrast	type_exact	"<span class=""front-instruction"">Type the correct Spanish form</span><br>la casa _____<br><span class=""front-cue"">Contrast: rojo / roja</span>"	roja	roja	casa is feminine, so rojo becomes roja.<br><br>Full sentence: la casa roja	Decision rule<br>Adjectives change to match the noun in gender and number.<br><br>Pattern<br>noun + adjective; adjective agrees in gender and number<br><br>Common trap<br>Do not keep the masculine adjective for every noun.	- el libro rojo<br>- la casa roja<br>- los libros rojos								spanish_core a0_survival adjective_agreement typed_contrast
a0_survival::adjective_agreement::typed_correction	Spanish Core Learning::A0 Survival	a0_survival	adjective agreement	typed_correction	type_compare	"<span class=""front-instruction"">Correct the learner error</span><br><span class=""wrong-spanish"">las casas rojo</span>"	las casas rojas	las casas rojas	Feminine plural noun needs feminine plural adjective.	Decision rule<br>Adjectives change to match the noun in gender and number.<br><br>Pattern<br>noun + adjective; adjective agrees in gender and number<br><br>Common trap<br>Do not keep the masculine adjective for every noun.	- el libro rojo<br>- la casa roja<br>- los libros rojos								spanish_core a0_survival adjective_agreement typed_correction
